Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.0,Sun Mar 18 20:30:11 +0000 2018,0.0,1.0,0.0,"🏃💪 @LesDennis, @SimplySusannah, @Tameka_Empson and Miles Jupp embark on a muscle-grinding mission to regain their f… https://t.co/B1rXaalmk2",0,@BBC
0.0258,Sun Mar 18 20:03:04 +0000 2018,0.086,0.824,0.09,👎💌 Fans of K-Pop boyband member @IBGDRGN have been asked to stop sending fan mail to the army base where he's doing… https://t.co/ojtDZ3gMfb,1,@BBC
0.5994,Sun Mar 18 19:33:04 +0000 2018,0.0,0.803,0.197,"Saoirse Ronan stars as Eilis, a young girl who jumps at the chance of a better life when she emigrates to New York.… https://t.co/NtHAfh6cjZ",2,@BBC
-0.5994,Sun Mar 18 18:44:02 +0000 2018,0.163,0.837,0.0,"Ruth Ellis was only 28 when she became the last woman hanged to death in the UK. 

#TheRuthEllisFiles | Watch on… https://t.co/5kUIFtom7t",3,@BBC
0.204,Sun Mar 18 18:34:14 +0000 2018,0.077,0.772,0.151,"RT @BBC_TopGear: 840bhp goes a little like this…

@Matt_LeBlanc takes the Dodge Challenger SRT #Demon to the drag strip in this Sunday’s @T…",4,@BBC
0.7331,Sun Mar 18 17:18:12 +0000 2018,0.0,0.66,0.34,"RT @bbcthree: Be honest, do you think you'll be this fit at 81? https://t.co/Eca0uGCF6b",5,@BBC
0.0,Sun Mar 18 17:04:03 +0000 2018,0.0,1.0,0.0,"🍎🗑 How much food do you throw away? If you're a typical Brit, you probably think it's hardly any.

You're in denial… https://t.co/0bSCbRrZJr",6,@BBC
0.0,Sun Mar 18 16:33:17 +0000 2018,0.0,1.0,0.0,"❤️️📸Zun Lee wants his photography to give a balanced and nuanced portrayal of black fatherhood.

👉… https://t.co/LodRrr27fd",7,@BBC
0.0,Sun Mar 18 15:41:04 +0000 2018,0.0,1.0,0.0,"🤰 A doctor explains why you can get pregnant and give birth without having a baby bump. 
👉 https://t.co/nVrSpQoTOT https://t.co/iEEOjZdBKL",8,@BBC
0.0772,Sun Mar 18 14:33:07 +0000 2018,0.0,0.947,0.053,RT @BBCEngland: A number of runners have held their own half-marathon in Reading after the official event was called off due to the snowy w…,9,@BBC
0.0,Sun Mar 18 14:28:23 +0000 2018,0.0,1.0,0.0,RT @BBCSport: They’ve done it! Gold for GB’s Menna Fitzpatrick and Jen Kehoe in the visually impaired slalom at the Winter Paralympics. And…,10,@BBC
0.0,Sun Mar 18 14:18:01 +0000 2018,0.0,1.0,0.0,📱🚗 Why a rise in electric cars could also mean a hike in the cost of your next phone. https://t.co/6i5xFQgRIW,11,@BBC
0.6369,Sun Mar 18 14:08:37 +0000 2018,0.0,0.682,0.318,RT @BBC6Music: ✏️ Which song has the greatest opening line?,12,@BBC
0.3182,Sun Mar 18 13:45:03 +0000 2018,0.0,0.905,0.095,🎤Pop music is awash with those that released one hit album and never followed it up. Here are 7 huge artists that o… https://t.co/4ukT9drcdG,13,@BBC
0.0,Sun Mar 18 13:00:08 +0000 2018,0.0,1.0,0.0,"🍔😲 Would you eat a burger pie?  
#BackInTimeForTea https://t.co/zGWzJwdSlM",14,@BBC
0.0,Sun Mar 18 12:29:50 +0000 2018,0.0,1.0,0.0,RT @BBCOne: If food is the language of love... https://t.co/5hnYovE94o,15,@BBC
-0.4588,Sun Mar 18 11:43:04 +0000 2018,0.167,0.833,0.0,"Ever wondered why David Bowie wore an eye patch?

Strange things artists have worn on stage and the reasons why. 
👉… https://t.co/8zSBXQkLvy",16,@BBC
0.4939,Sun Mar 18 10:30:04 +0000 2018,0.0,0.826,0.174,"🍞🥖 Want to learn how to bake bread?

These easy to follow recipes and step-by-step videos will have you baking ever… https://t.co/iXEmj5WJdD",17,@BBC
-0.4215,Sun Mar 18 10:00:08 +0000 2018,0.259,0.741,0.0,"“I regret spending £50,000 on my wedding.” https://t.co/6PxJsDf9dn https://t.co/eJdx7KMmmK",18,@BBC
0.0,Sun Mar 18 09:30:03 +0000 2018,0.0,1.0,0.0,"How to be 20 on the inside, even when you’re 80 on the outside... https://t.co/KB2mqpkrIB",19,@BBC
0.656,Sun Mar 18 09:19:33 +0000 2018,0.061,0.727,0.212,"RT @BBCNews: Snow and ice are bringing disruption to many parts of the UK - but they're not stopping everyone from having fun 🐶❄️

https://…",20,@BBC
0.0,Sun Mar 18 09:10:02 +0000 2018,0.0,1.0,0.0,"RT @bbc5live: The beast from the east is back ❄️🌨️

You've been in touch this morning with your #uksnow pics, here are just a few...

What'…",21,@BBC
0.0,Sat Mar 17 20:02:01 +0000 2018,0.0,1.0,0.0,"These seven celebrities are about to go on the journey of a lifetime... #Pilgrimage
https://t.co/m45UBXJew2",22,@BBC
0.0,Sat Mar 17 19:21:02 +0000 2018,0.0,1.0,0.0,Can we just take a moment to discuss Eddie Redmanyne's coats?https://t.co/odVkhWyRKs,23,@BBC
0.0,Sat Mar 17 18:32:01 +0000 2018,0.0,1.0,0.0,"Ouch! 😂🔥@GordonRamsay's daughter is hilarious... 
https://t.co/0dqwntX5uj",24,@BBC
0.3612,Sat Mar 17 18:03:04 +0000 2018,0.0,0.857,0.143,"🐜1⃣2⃣3⃣Sir David Attenborough explores whether there is counting in the natural world. 

David Attenborough's Natur… https://t.co/Q4H4uXR4pt",25,@BBC
0.3182,Sat Mar 17 17:30:07 +0000 2018,0.0,0.901,0.099,One of the writers for The Simpsons has told @BBCNewsbeat Stephen Hawking was such a big fan of the show - he'd sho… https://t.co/Jjer3V4cYk,26,@BBC
0.4767,Sat Mar 17 17:00:08 +0000 2018,0.0,0.785,0.215,"🎓📚 'The moment I gave Reese Witherspoon my Legally Blonde dissertation... and yes, it was scented.'
👉… https://t.co/z8x5mqqKoW",27,@BBC
0.0,Sat Mar 17 16:39:39 +0000 2018,0.0,1.0,0.0,RT @BBCWorld: Blossom in south-west China captured by drone https://t.co/gIDKUn1La6,28,@BBC
